projectCategory, slug                                                     , projectAge, projectSummary          , privateBathrooms, publicBathrooms, furnishingType                                                                  , lift        , ageOfProperty, parkingType, listingType       , floorPlanImage                                                                                , maintenanceCharges       , createdAt, updatedAt, Address info                                                                                                                                                                                         , Variant details                                                                                                                                                                                                                                                                       , Configuration info                     , Title                                                  , Possession Status
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757584023815-67012c27580e3e23.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "1.0, 1.0,  ""UNFURNISHED""   , 123.0, 11111111.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1756971672464-1e5179453b5df91d.jpg""""]""                                                                                           ,  ""jjhhhu""                   "  , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1756971672464-419924a4c5c28823.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "0.0, 2.0,  ""UNFURNISHED""   , 456.0, 22222222.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1756971672464-7c8c73119cb2047b.jpg""""]""                                                                                           ,  ""nbhjg""                    "  , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757011238520-ba6c9c4021ea321f.jpg"" ", " ""faded ""            ",          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "12.0, 3.0,  ""UNFURNISHED""   , 972.0, 120000000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757011238541-c8a6e3aced460e18.jpg""""]""                                                                                           ,  ""about property ""          ", "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757011238542-2d39a8b06669406b.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "3.0, 2.0,  ""UNFURNISHED""   , 188.73, 210000000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757011238542-bd3d1a40c2d7fadb.jpg""""]""                                                                                           ,  ""fsdaffdsafsfdddsa""        ", "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391101-b4e4be9945434d29.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "1.0, 1.0,  ""UNFURNISHED""   , 426.57, 13000000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391106-7c383f81d9c66290.jpg""""]""                                                                                           ,  ""na""                       " , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391141-e6c14becbdbd76a2.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "1.0, 1.0,  ""UNFURNISHED""   , 460.8, 15000000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391150-9b806803ceb0c8b6.jpg""""]""                                                                                           ,  ""na""                       "  , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391158-41329b8304cff17d.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "3.0, 2.0,  ""UNFURNISHED""   , 893.08, 29000000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391167-19d3844213de86cb.jpg""""]""                                                                                           ,  ""na""                       " , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391179-7f2bff943c2805a5.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "3.0, 2.0,  ""UNFURNISHED""   , 918.27, 29000000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391188-7b25319224e8a812.jpg""""]""                                                                                           ,  ""na""                       " , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391195-0e9c4aa442f80776.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "2.0, 2.0,  ""UNFURNISHED""   , 804.6, 26000000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391202-e4d28b891dcb832f.jpg""""]""                                                                                           ,  ""na""                       "  , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391210-70f3ad7351a09d4c.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "2.0, 2.0,  ""UNFURNISHED""   , 1036.67, 33000000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391218-4ca8b878a42de5ae.jpg""""]""                                                                                           ,  ""na""                       ", "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
